country,region
A1,
AD,EMEA
AE,EMEA
AG,NA
AI,NA
AL,EMEA
AM,APAC
AO,EMEA
AR,LATAM
AS,APAC
AT,EMEA
AU,APAC
AW,NA
AX,EMEA
AZ,EMEA
BA,EMEA
BB,NA
BD,APAC
BE,EMEA
BF,EMEA
BG,EMEA
BH,APAC
BJ,EMEA
BM,LATAM
BN,APAC
BO,LATAM
BQ,NA
BR,LATAM
BS,NA
BT,APAC
BW,EMEA
BY,EMEA
BZ,NA
CA,NA
CD,EMEA
CH,EMEA
CI,EMEA
CK,APAC
CL,LATAM
CM,EMEA
CN,APAC
CO,LATAM
CR,LATAM
CU,LATAM
CV,EMEA
CW,NA
CY,EMEA
CZ,EMEA
DE,EMEA
DK,EMEA
DO,LATAM
DZ,EMEA
EC,LATAM
EE,EMEA
EG,EMEA
ES,EMEA
ET,EMEA
EU,
FI,EMEA
FJ,APAC
FO,EMEA
FR,EMEA
GB,EMEA
GD,NA
GE,EMEA
GF,LATAM
GG,EMEA
GH,EMEA
GI,EMEA
GL,NA
GN,EMEA
GP,NA
GR,EMEA
GT,LATAM
GU,APAC
HK,APAC
HN,LATAM
HR,EMEA
HT,LATAM
HU,EMEA
ID,APAC
IE,EMEA
IL,EMEA
IM,EMEA
IN,APAC
IQ,EMEA
IS,EMEA
IT,EMEA
JE,EMEA
JM,NA
JO,EMEA
JP,APAC
KE,EMEA
KG,APAC
KH,APAC
KN,NA
KR,APAC
KW,EMEA
KY,NA
KZ,EMEA
LA,APAC
LB,EMEA
LC,NA
LK,APAC
LT,EMEA
LU,EMEA
LV,EMEA
MA,EMEA
MC,EMEA
MD,EMEA
ME,EMEA
MG,EMEA
MK,EMEA
ML,EMEA
MM,APAC
MN,APAC
MO,APAC
MP,APAC
MQ,NA
MR,EMEA
MT,EMEA
MU,EMEA
MV,APAC
MX,LATAM
MY,APAC
MZ,EMEA
NA,EMEA
NC,APAC
NG,EMEA
NI,LATAM
NL,EMEA
NO,EMEA
NP,APAC
NZ,APAC
OM,EMEA
PA,LATAM
PE,LATAM
PF,APAC
PG,APAC
PH,APAC
PK,APAC
PL,EMEA
PR,NA
PS,EMEA
PT,EMEA
PY,LATAM
QA,EMEA
RE,EMEA
RO,EMEA
RS,EMEA
RU,APAC
RW,EMEA
SA,EMEA
SC,EMEA
SD,EMEA
SE,EMEA
SG,APAC
SI,EMEA
SK,EMEA
SL,EMEA
SN,EMEA
SO,EMEA
SV,LATAM
SX,NA
TC,NA
TG,EMEA
TH,APAC
TJ,APAC
TL,APAC
TN,EMEA
TR,EMEA
TT,NA
TW,APAC
TZ,EMEA
UA,EMEA
UG,EMEA
US,NA
UY,LATAM
UZ,APAC
VE,LATAM
VG,NA
VI,NA
VN,APAC
VU,APAC
YE,EMEA
ZA,EMEA
ZM,EMEA
ZW,EMEA